# peak_position, peak_width, peak_intensity
2.719030513027278051e+00,8.633831488081584737e-01,1.714127578926669173e+02
2.901754244005033012e+00,6.243806945075515147e-01,2.323852662759364307e+02
2.869546347630143934e+00,7.249133336042228315e-01,2.111826727947525626e+02
2.830074476184460064e+00,8.125304208659652749e-01,1.917026383127394240e+02
2.786996702303634610e+00,8.646391858171588174e-01,1.827933582430767387e+02
2.747409769792232392e+00,8.609735834843633695e-01,1.775663972387521312e+02
2.710766291974806563e+00,8.397547254169211994e-01,1.774239850006712800e+02
2.678443388964546479e+00,8.041294832737108100e-01,1.826367239483677736e+02
2.649994062050803567e+00,7.688977846290118157e-01,1.919420079484862924e+02
2.624304744493865638e+00,7.305045090973804056e-01,2.057665062383737506e+02
2.960002096413310468e+00,5.218500356148891850e-01,2.941540612285197085e+02
2.942730651462566627e+00,5.486874617481575234e-01,2.692836930862718532e+02
2.918976115359680712e+00,5.964334736000245218e-01,2.532193141307952260e+02
2.892158551156313262e+00,6.568643458204516117e-01,2.276619790634871663e+02
2.859028775549384171e+00,7.435269295028344994e-01,2.045882147263807838e+02
2.818908602562508303e+00,8.252076510002186449e-01,1.890667128892685014e+02
2.778299488540068474e+00,8.604685891167587197e-01,1.814702893198214042e+02
2.740995527260559950e+00,8.547111921459706885e-01,1.787141930286021250e+02
2.705307087119071419e+00,8.270508237357662162e-01,1.806967442984108914e+02
2.675143226842132904e+00,7.975257109155671209e-01,1.887368580487801637e+02
2.647477901371805054e+00,7.549097287934013467e-01,1.968558250681543313e+02
2.622035463050890858e+00,7.143496916936519225e-01,2.080268718865167727e+02
2.599747464860141744e+00,6.730972610188713512e-01,2.187533299434117851e+02
2.983143397648869932e+00,4.898586306955209912e-01,3.295302806502268140e+02
2.970172448616028582e+00,5.086282692106006698e-01,3.074312472774612388e+02
2.953515581216905161e+00,5.358911698131919588e-01,2.874407808542003409e+02
2.935379631386031196e+00,5.679976635792913786e-01,2.677300702276576772e+02
2.911386998450055330e+00,6.183294320165492186e-01,2.460892548658910925e+02
3.005792319476014107e+00,8.354249352329408129e-01,2.458266285045058339e+02
2.846683995825415980e+00,7.779866092102152297e-01,2.004147583610928507e+02
2.808945594288180025e+00,8.221171647334554189e-01,1.856240998803963294e+02
