# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
33,-12.002,-32.9998,30,4021156,4980707,0,13123119,103145,0,0,0,35.221229,1062330,958800,626780,241645,23511,3852,2128,3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+00,1.16E+03,8.09E+02,1.43E+00,2.00E+00,1.33E-05,10.33976805,60.19458303,29.46564893,,,,2.31E+04,3.14E+03,4.51E+03,6.18E+02,2.90E+00,6.24E-01,2.32E+02
34,-8.999,-32.9998,30,4019895,4984068,0,13476014,103752,0,0,0,35.000786,1021260,925350,586823,235729,23497,4148,2105,3357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E+00,1.15E+03,7.99E+02,1.44E+00,3.00E+00,1.34E-05,10.60131486,57.89660514,31.50207999,,,,2.16E+04,2.94E+03,4.64E+03,6.36E+02,2.87E+00,7.25E-01,2.11E+02
35,-6.001,-32.9998,30,3737528,4685183,0,0,103750,0,0,0,35.052754,974040,886080,548927,229932,23525,4248,1863,3361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E+00,1.14E+03,7.89E+02,1.44E+00,4.00E+00,1.38E-05,10.83685504,55.58407583,33.57906912,,,,2.02E+04,2.74E+03,4.65E+03,6.37E+02,2.83E+00,8.13E-01,1.92E+02
36,-2.99801,-32.9998,30,3999964,4963181,0,12811593,103057,0,0,0,34.971024,930720,850770,512032,222665,23804,4279,1940,3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+00,1.12E+03,7.79E+02,1.44E+00,5.00E+00,1.39E-05,11.04543222,53.26065432,35.69391347,,,,1.88E+04,2.56E+03,4.77E+03,6.54E+02,2.79E+00,8.65E-01,1.83E+02
37,0,-32.9998,30,3999086,4959561,0,13430710,102715,0,0,0,34.97731,886980,813750,477530,215418,23649,4472,1709,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E+00,1.11E+03,7.68E+02,1.45E+00,6.00E+00,1.42E-05,11.22498864,50.94505911,37.82995225,,,,1.75E+04,2.38E+03,4.68E+03,6.41E+02,2.75E+00,8.61E-01,1.78E+02
38,2.99801,-32.9998,30,3989375,4952592,0,13468246,102610,0,0,0,35.019965,844770,777060,442462,209639,23259,4579,1716,3503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E+00,1.10E+03,7.59E+02,1.45E+00,7.00E+00,1.45E-05,11.37496304,48.64418848,39.98084849,,,,1.62E+04,2.21E+03,4.63E+03,6.35E+02,2.71E+00,8.40E-01,1.77E+02
39,6.001,-32.9998,30,3976349,4933234,0,13210932,104157,0,0,0,35.032679,805440,743610,411057,202473,23128,4733,1685,3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E+00,1.09E+03,7.49E+02,1.45E+00,8.00E+00,1.47E-05,11.49485216,46.36451863,42.14062921,,,,1.51E+04,2.06E+03,4.59E+03,6.29E+02,2.68E+00,8.04E-01,1.83E+02
40,8.999,-32.9998,30,3972499,4920665,0,13455261,103639,0,0,0,34.969099,769770,712800,382886,195445,23009,4843,1583,3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E+00,1.08E+03,7.40E+02,1.46E+00,9.00E+00,1.49E-05,11.58392879,44.12332687,44.29274434,,,,1.41E+04,1.91E+03,4.33E+03,5.94E+02,2.65E+00,7.69E-01,1.92E+02
41,12.002,-32.9998,30,4001834,4967317,0,13355454,102993,0,0,0,34.854473,744840,691080,358727,189832,22929,4905,1525,3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+01,1.08E+03,7.39E+02,1.46E+00,1.00E+01,1.51E-05,11.64257401,41.92160828,46.43581771,,,,1.31E+04,1.78E+03,4.55E+03,6.24E+02,2.62E+00,7.31E-01,2.06E+02
56,-17.998,-30.0003,30,4005891,4984695,0,12670879,103293,0,0,0,35.140309,1202250,1073130,732494,267083,24651,3440,2368,3255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E+01,1.19E+03,8.39E+02,1.42E+00,1.10E+01,1.27E-05,10.23851583,65.76576293,23.99572124,,,,2.70E+04,3.67E+03,4.85E+03,6.65E+02,2.96E+00,5.22E-01,2.94E+02
