# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
12,0,-35.9999,30,3713237,4488063,0,14115622,108082,0,0,0,35.303927,483570,458760,93061,221786,32108,3043,868,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+00,9.16E+02,5.78E+02,1.58E+00,1.00E+00,1.67E-05,32.53530713,18.80405044,48.66064242,,,,3.17E+03,4.31E+02,7.52E+03,1.03E+03,2.72E+00,7.87E-01,8.65E+01
33,-12.002,-32.9998,30,3446892,4172108,0,0,108175,0,0,0,35.100171,854280,785850,218262,436413,61012,3708,1503,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+00,9.99E+02,6.93E+02,1.44E+00,2.00E+00,1.46E-05,35.48457668,25.1404875,39.37493583,,,,7.55E+03,1.03E+03,1.45E+04,1.99E+03,2.90E+00,8.16E-01,1.58E+02
34,-8.999,-32.9998,30,3443417,4175068,0,6388,108068,0,0,0,35.016848,840180,774300,205208,433786,61237,3934,1581,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E+00,9.94E+02,6.90E+02,1.44E+00,3.00E+00,1.47E-05,35.39369279,23.55710462,41.0492026,,,,7.05E+03,9.59E+02,1.45E+04,1.99E+03,2.86E+00,8.48E-01,1.58E+02
35,-6.001,-32.9998,30,3439907,4179866,0,408490,108414,0,0,0,35.113658,819990,756300,191625,428453,61033,4028,1612,3207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E+00,9.90E+02,6.90E+02,1.44E+00,4.00E+00,1.47E-05,35.22952465,22.05470473,42.71577062,,,,6.53E+03,8.88E+02,1.45E+04,1.98E+03,2.82E+00,8.53E-01,1.60E+02
36,-2.99801,-32.9998,30,3692680,4455320,0,14422681,109297,0,0,0,35.057917,802650,741180,179908,421382,60617,4271,1519,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+00,9.86E+02,6.87E+02,1.44E+00,5.00E+00,1.48E-05,34.995494,20.62816152,44.37634448,,,,6.09E+03,8.28E+02,1.43E+04,1.96E+03,2.79E+00,8.35E-01,1.67E+02
37,0,-32.9998,30,3680179,4445256,0,14045411,107993,0,0,0,35.182693,783450,724740,168275,418095,59616,4467,1505,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E+00,9.80E+02,6.84E+02,1.43E+00,6.00E+00,1.48E-05,34.69662905,19.28130541,46.02206555,,,,5.70E+03,7.75E+02,1.43E+04,1.95E+03,2.76E+00,8.04E-01,1.76E+02
38,2.99801,-32.9998,30,3679225,4446067,0,14229225,108949,0,0,0,35.082445,767070,710340,157195,410645,59333,4512,1445,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E+00,9.75E+02,6.82E+02,1.43E+00,7.00E+00,1.47E-05,34.33722418,18.01028428,47.65249154,,,,5.27E+03,7.17E+02,1.41E+04,1.93E+03,2.73E+00,7.65E-01,1.89E+02
39,6.001,-32.9998,30,3713792,4482715,0,13966622,107892,0,0,0,35.243507,759630,704520,149834,411138,59835,4721,1429,3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E+00,9.83E+02,6.88E+02,1.43E+00,8.00E+00,1.48E-05,33.92105369,16.81132681,49.2676195,,,,5.01E+03,6.81E+02,1.41E+04,1.93E+03,2.70E+00,7.38E-01,2.07E+02
40,8.999,-32.9998,30,3706066,4475913,0,14006457,107945,0,0,0,35.248182,742140,689460,140553,405154,59073,4971,1415,3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E+00,9.76E+02,6.86E+02,1.42E+00,9.00E+00,1.45E-05,33.4540812,15.68627647,50.85964233,,,,4.68E+03,6.36E+02,1.40E+04,1.92E+03,2.68E+00,7.02E-01,2.21E+02
41,12.002,-32.9998,30,3697420,4466152,0,13774711,107266,0,0,0,35.089494,726570,675330,131682,397028,58581,5011,1359,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+01,9.70E+02,6.86E+02,1.41E+00,1.00E+01,1.40E-05,32.93939834,14.62870432,52.43189735,,,,4.33E+03,5.89E+02,1.38E+04,1.89E+03,2.66E+00,6.79E-01,2.37E+02
