# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
2.324373984457205111e+00,1.235189289616528407e-01,8.049885374667863081e-02,3.663211203184528131e+02,2.000000000000000000e+00
2.324373984457205111e+00,1.235189289616528407e-01,8.049885374667863081e-02,3.663211203184528131e+02,2.000000000000000000e+00
2.319501657014016782e+00,1.365834854586052971e-01,7.853279095581118530e-02,4.075841250206732411e+02,2.000000000000000000e+00
2.317160846308868205e+00,1.247540480045835620e-01,7.684848961452064864e-02,4.274828148803931072e+02,2.000000000000000000e+00
2.316779572859027692e+00,1.014127789540545943e-01,7.415760156926748392e-02,4.224974135967343045e+02,2.000000000000000000e+00
2.315093687423035451e+00,9.360225513419528909e-02,7.259273772239953348e-02,4.517339578738888122e+02,2.000000000000000000e+00
2.313323832688301440e+00,8.661899174635701026e-02,7.134079146879797328e-02,4.855587167966418178e+02,2.000000000000000000e+00
2.311957747719286527e+00,8.170226203383237906e-02,7.002384879659960537e-02,5.157037746834954532e+02,2.000000000000000000e+00
2.310845709111749358e+00,7.858260249332180147e-02,6.901160386574128891e-02,5.481010714437784372e+02,2.000000000000000000e+00
2.309574840482902403e+00,7.717878560026582291e-02,6.784577704112798591e-02,5.805641308681067585e+02,2.000000000000000000e+00
2.332892233966379347e+00,1.328410590446946205e-01,9.223352663621199599e-02,3.431901242134309769e+02,2.000000000000000000e+00
2.328509329975471331e+00,1.268734794609796546e-01,8.710026286178695898e-02,3.496266487497308049e+02,2.000000000000000000e+00
2.324975419274086796e+00,1.218462983909361363e-01,8.295556730459492656e-02,3.566408389148040783e+02,2.000000000000000000e+00
2.321769845305666546e+00,1.166203358324574973e-01,8.030666895448970721e-02,3.712677498441651665e+02,2.000000000000000000e+00
2.318947291291016732e+00,1.098896009567258414e-01,7.839743472389895662e-02,3.903646779865192684e+02,2.000000000000000000e+00
2.316763248461192859e+00,1.031892692339929224e-01,7.700741681905039215e-02,4.097574069977112572e+02,2.000000000000000000e+00
2.314775508053149800e+00,9.608232343415207266e-02,7.529372028331381139e-02,4.351649907445641361e+02,2.000000000000000000e+00
2.313074484959797950e+00,9.021923594834925508e-02,7.329872225452244150e-02,4.575338110244923087e+02,2.000000000000000000e+00
2.311497501225231677e+00,8.570872683887509336e-02,7.212029538024758435e-02,4.835088375530336862e+02,2.000000000000000000e+00
2.310422300552364305e+00,8.248609804609931262e-02,7.056700948555819086e-02,5.126832510060376080e+02,2.000000000000000000e+00
2.309142524273293695e+00,8.073628878070594761e-02,6.914568252958200323e-02,5.404485691067850439e+02,2.000000000000000000e+00
