# register#,plate_y,plate_x,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,,,,,,,,,,scan#,Imax,Iave,ratio,scan#,texture,Co,Ti,Zr,# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,5.22E+06,5.92E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,1.53E+05,1.51E+05,2.94E+03,3.40E+02,2.08E+04,4.16E+03,2.29E+04,5.13E+04,1.33E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.36E+03,5.98E+02,2.27E+00,1.00E+00,3.18E-04,0.04132046,0.681408718,0.277270822,2.62E+00,1.20E-01,1.20E-01,7.13E+02,1.00E+00
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,5.22E+06,5.92E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.53E+01,1.77E+05,1.73E+05,3.76E+03,3.58E+02,2.37E+04,4.45E+03,2.32E+04,6.45E+04,1.66E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.30E+03,5.96E+02,2.18E+00,2.00E+00,2.78E-04,0.042292933,0.729339128,0.228367939,2.65E+00,1.20E-01,1.20E-01,6.57E+02,1.00E+00
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,5.21E+06,5.91E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.73E+05,1.70E+05,3.59E+03,3.28E+02,2.38E+04,4.42E+03,2.31E+04,6.11E+04,1.58E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.31E+03,5.96E+02,2.19E+00,3.00E+00,2.85E-04,0.043388638,0.71590629,0.240705072,2.64E+00,1.20E-01,1.20E-01,6.71E+02,1.00E+00
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,5.21E+06,5.90E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.69E+05,1.66E+05,3.46E+03,3.77E+02,2.41E+04,4.49E+03,2.36E+04,5.84E+04,1.51E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.32E+03,5.96E+02,2.22E+00,4.00E+00,2.90E-04,0.044475622,0.702246269,0.253278109,2.64E+00,1.20E-01,1.20E-01,6.89E+02,1.00E+00
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,5.20E+06,5.89E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.64E+05,1.61E+05,3.32E+03,3.70E+02,2.39E+04,4.55E+03,2.33E+04,5.54E+04,1.45E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.34E+03,5.96E+02,2.25E+00,5.00E+00,2.93E-04,0.045554618,0.688393925,0.266051457,2.63E+00,1.20E-01,1.20E-01,7.12E+02,1.00E+00
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,5.19E+06,5.87E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.60E+05,1.58E+05,3.09E+03,3.40E+02,2.41E+04,4.61E+03,2.35E+04,5.26E+04,1.35E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.36E+03,5.95E+02,2.28E+00,6.00E+00,2.97E-04,0.046625116,0.674390563,0.278984321,2.63E+00,1.19E-01,1.19E-01,7.35E+02,1.00E+00
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,5.19E+06,5.85E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.55E+05,1.52E+05,2.94E+03,3.64E+02,2.41E+04,4.77E+03,2.35E+04,4.94E+04,1.28E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.38E+03,5.95E+02,2.31E+00,7.00E+00,2.99E-04,0.047686856,0.660276679,0.292036465,2.62E+00,1.19E-01,1.19E-01,7.55E+02,1.00E+00
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,5.18E+06,5.84E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.51E+05,1.48E+05,2.90E+03,3.70E+02,2.43E+04,4.67E+03,2.32E+04,4.64E+04,1.21E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,1.39E+03,5.94E+02,2.34E+00,8.00E+00,2.99E-04,0.048740631,0.646092966,0.305166403,2.61E+00,1.20E-01,1.20E-01,7.70E+02,1.00E+00
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,5.21E+06,5.89E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.48E+05,1.45E+05,2.73E+03,3.70E+02,2.41E+04,4.83E+03,2.37E+04,4.43E+04,1.14E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.41E+03,6.01E+02,2.35E+00,9.00E+00,2.97E-04,0.049785195,0.631880581,0.318334223,2.61E+00,1.21E-01,1.21E-01,7.89E+02,1.00E+00
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,5.22E+06,5.94E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.45E+05,1.42E+05,2.48E+03,3.80E+02,2.44E+04,4.85E+03,2.40E+04,4.19E+04,1.09E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,1.42E+03,6.06E+02,2.35E+00,1.00E+01,2.95E-04,0.05082083,0.617674701,0.331504469,2.60E+00,1.23E-01,1.23E-01,7.99E+02,1.00E+00
