# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted,Zr_adjusted,peak_position,peak_width,peak_intensity,V_alpha1,V_alpha2,V_beta,Co_alpha1,Co_alpha2,Co_beta
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,4.18E+06,4.72E+06,0.00E+00,1.40E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,5.96E+05,5.60E+05,1.02E+05,1.21E+05,2.33E+04,9.60E+03,1.51E+04,1.43E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.49E+03,7.42E+02,2.00E+00,1.00E+00,9.72E-06,7.36E+00,2.93E+01,6.33E+01,0.083301016,0.253527738,0.663171247,2.51E+00,4.05E-01,7.51E+02,2.89E+03,1.45E+03,6.66E+02,2.94E+03,1.47E+03,6.12E+02
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,4.17E+06,4.71E+06,0.00E+00,1.44E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,6.83E+05,6.36E+05,1.48E+05,1.46E+05,2.73E+04,9.96E+03,2.19E+04,1.43E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.45E+03,7.65E+02,1.89E+00,2.00E+00,9.91E-06,8.64E+00,3.63E+01,5.51E+01,0.085397696,0.322456305,0.592146,2.53E+00,4.61E-01,6.86E+02,4.16E+03,2.08E+03,9.57E+02,3.55E+03,1.77E+03,7.41E+02
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,4.16E+06,4.69E+06,0.00E+00,1.40E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.75E+05,6.29E+05,1.41E+05,1.48E+05,2.77E+04,1.01E+04,2.05E+04,1.44E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.49E+03,7.69E+02,1.94E+00,3.00E+00,9.85E-06,8.55E+00,3.44E+01,5.70E+01,0.087329865,0.305267348,0.607402787,2.53E+00,4.51E-01,7.31E+02,3.99E+03,2.00E+03,9.11E+02,3.64E+03,1.82E+03,7.42E+02
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,4.16E+06,4.65E+06,0.00E+00,1.42E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.66E+05,6.21E+05,1.32E+05,1.51E+05,2.78E+04,1.04E+04,1.94E+04,1.42E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.52E+03,7.65E+02,1.99E+00,4.00E+00,9.83E-06,8.44E+00,3.26E+01,5.89E+01,0.089196848,0.288662183,0.622140969,2.53E+00,4.37E-01,7.66E+02,3.71E+03,1.85E+03,8.50E+02,3.68E+03,1.84E+03,7.50E+02
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,4.15E+06,4.65E+06,0.00E+00,1.45E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,6.58E+05,6.14E+05,1.24E+05,1.51E+05,2.84E+04,1.06E+04,1.84E+04,1.41E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.56E+03,7.66E+02,2.04E+00,5.00E+00,9.72E-06,8.32E+00,3.09E+01,6.08E+01,0.090999984,0.272622146,0.63637787,2.52E+00,4.26E-01,8.05E+02,3.50E+03,1.75E+03,8.04E+02,3.69E+03,1.85E+03,7.64E+02
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,4.14E+06,4.70E+06,0.00E+00,1.42E+07,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,6.60E+05,6.16E+05,1.20E+05,1.55E+05,2.93E+04,1.11E+04,1.76E+04,1.43E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.63E+03,7.82E+02,2.08E+00,6.00E+00,9.64E-06,8.18E+00,2.92E+01,6.27E+01,0.092730669,0.257228768,0.650040563,2.52E+00,4.15E-01,8.65E+02,3.39E+03,1.69E+03,7.67E+02,3.80E+03,1.90E+03,7.89E+02
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,3.84E+06,4.42E+06,0.00E+00,2.43E+02,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,6.56E+05,6.12E+05,1.14E+05,1.59E+05,2.96E+04,1.12E+04,1.68E+04,1.43E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.68E+03,7.87E+02,2.14E+00,7.00E+00,9.57E-06,8.04E+00,2.75E+01,6.45E+01,0.094388312,0.242475826,0.663135862,2.51E+00,4.03E-01,9.13E+02,3.21E+03,1.60E+03,7.35E+02,3.90E+03,1.95E+03,7.94E+02
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,4.14E+06,4.71E+06,0.00E+00,1.41E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.54E+05,6.10E+05,1.07E+05,1.61E+05,3.03E+04,1.14E+04,1.60E+04,1.41E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,1.73E+03,7.89E+02,2.19E+00,8.00E+00,9.49E-06,7.89E+00,2.59E+01,6.62E+01,0.095973288,0.228353324,0.675673388,2.51E+00,3.92E-01,9.57E+02,3.03E+03,1.51E+03,7.06E+02,3.93E+03,1.96E+03,8.15E+02
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,4.18E+06,4.74E+06,0.00E+00,1.43E+07,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.57E+05,6.13E+05,1.01E+05,1.63E+05,3.08E+04,1.15E+04,1.52E+04,1.42E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.78E+03,7.97E+02,2.24E+00,9.00E+00,9.37E-06,7.72E+00,2.44E+01,6.79E+01,0.09747912,0.214913854,0.687607026,2.51E+00,3.81E-01,1.01E+03,2.86E+03,1.43E+03,6.66E+02,4.00E+03,2.00E+03,8.21E+02
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,4.18E+06,4.73E+06,0.00E+00,1.45E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.51E+05,6.07E+05,9.50E+04,1.65E+05,3.08E+04,1.17E+04,1.41E+04,1.43E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,1.83E+03,8.01E+02,2.29E+00,1.00E+01,9.21E-06,7.55E+00,2.29E+01,6.96E+01,0.098908329,0.202113567,0.698978103,2.50E+00,3.71E-01,1.06E+03,2.70E+03,1.35E+03,6.10E+02,4.06E+03,2.03E+03,8.22E+02
