# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted, Zr_adjusted,peak_position,peak_width,peak_intensity,V_alpha1,V_alpha2,V_beta,Co_alpha1,Co_alpha2,Co_beta,Citrine_ID
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,3.58E+06,4.32E+06,0.00E+00,1.40E+07,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,6.11E+05,5.75E+05,2.64E+05,1.44E+05,2.28E+04,3.60E+03,3.76E+04,3.31E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,8.76E+02,5.95E+02,1.47E+00,2.00E+00,1.52E-05,7.04E+00,7.29E+01,2.01E+01,7.46E-02,7.53E-01,1.73E-01,2.73E+00,5.14E-01,2.01E+02,7.41E+03,3.70E+03,1.66E+03,3.55E+03,1.78E+03,7.17E+02,2206
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,3.57E+06,4.32E+06,0.00E+00,1.39E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.07E+05,5.72E+05,2.60E+05,1.41E+05,2.25E+04,3.65E+03,3.75E+04,3.28E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,8.79E+02,5.96E+02,1.47E+00,3.00E+00,1.52E-05,7.22E+00,7.13E+01,2.15E+01,7.50E-02,7.40E-01,1.85E-01,2.71E+00,5.36E-01,2.09E+02,7.33E+03,3.66E+03,1.64E+03,3.51E+03,1.75E+03,7.01E+02,2207
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,3.60E+06,4.34E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.04E+05,5.69E+05,2.54E+05,1.42E+05,2.26E+04,3.95E+03,3.67E+04,3.37E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,8.79E+02,6.00E+02,1.47E+00,4.00E+00,1.50E-05,7.39E+00,6.97E+01,2.29E+01,7.53E-02,7.27E-01,1.98E-01,2.70E+00,5.47E-01,2.13E+02,7.14E+03,3.57E+03,1.61E+03,3.50E+03,1.75E+03,7.06E+02,2208
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,3.62E+06,4.36E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.99E+05,5.65E+05,2.48E+05,1.42E+05,2.30E+04,3.98E+03,3.60E+04,3.31E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,8.84E+02,6.04E+02,1.46E+00,5.00E+00,1.49E-05,7.56E+00,6.80E+01,2.44E+01,7.55E-02,7.13E-01,2.11E-01,2.68E+00,5.66E-01,2.24E+02,7.01E+03,3.50E+03,1.58E+03,3.47E+03,1.74E+03,7.07E+02,2209
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,3.62E+06,4.34E+06,0.00E+00,1.42E+07,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.90E+05,5.56E+05,2.41E+05,1.41E+05,2.26E+04,4.27E+03,3.45E+04,3.29E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,8.75E+02,6.02E+02,1.45E+00,6.00E+00,1.47E-05,7.71E+00,6.63E+01,2.60E+01,7.55E-02,6.99E-01,2.26E-01,2.66E+00,5.70E-01,2.28E+02,6.77E+03,3.38E+03,1.53E+03,3.47E+03,1.73E+03,6.94E+02,2210
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,3.61E+06,4.32E+06,0.00E+00,1.42E+07,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.80E+05,5.47E+05,2.34E+05,1.38E+05,2.27E+04,4.34E+03,3.38E+04,3.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,8.75E+02,6.01E+02,1.46E+00,7.00E+00,1.46E-05,7.86E+00,6.45E+01,2.76E+01,7.56E-02,6.84E-01,2.40E-01,2.64E+00,5.81E-01,2.37E+02,6.54E+03,3.27E+03,1.49E+03,3.41E+03,1.71E+03,6.87E+02,2211
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,3.61E+06,4.33E+06,0.00E+00,1.41E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.54E+01,5.67E+05,5.35E+05,2.27E+05,1.38E+05,2.25E+04,4.52E+03,3.27E+04,3.32E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,8.83E+02,6.05E+02,1.46E+00,8.00E+00,1.45E-05,8.00E+00,6.27E+01,2.93E+01,7.55E-02,6.68E-01,2.56E-01,2.63E+00,5.85E-01,2.46E+02,6.38E+03,3.19E+03,1.45E+03,3.39E+03,1.69E+03,6.89E+02,2212
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,3.60E+06,4.33E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.63E+05,5.32E+05,2.19E+05,1.37E+05,2.26E+04,4.74E+03,3.16E+04,3.45E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,8.91E+02,6.05E+02,1.47E+00,9.00E+00,1.44E-05,8.13E+00,6.08E+01,3.11E+01,7.53E-02,6.52E-01,2.72E-01,2.61E+00,5.90E-01,2.58E+02,6.17E+03,3.09E+03,1.38E+03,3.37E+03,1.69E+03,6.80E+02,2213
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,3.60E+06,4.32E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.46E+05,5.16E+05,2.09E+05,1.35E+05,2.21E+04,4.88E+03,3.04E+04,3.41E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,8.98E+02,6.05E+02,1.48E+00,1.00E+01,1.44E-05,8.24E+00,5.89E+01,3.29E+01,7.50E-02,6.36E-01,2.89E-01,2.60E+00,5.87E-01,2.67E+02,5.87E+03,2.93E+03,1.34E+03,3.32E+03,1.66E+03,6.58E+02,2214
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,3.59E+06,4.32E+06,0.00E+00,1.42E+07,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.23E+05,5.86E+05,2.62E+05,1.54E+05,2.38E+04,3.22E+03,3.79E+04,3.06E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,8.80E+02,5.92E+02,1.49E+00,1.10E+01,1.57E-05,7.44E+00,7.51E+01,1.74E+01,8.26E-02,7.65E-01,1.52E-01,2.76E+00,4.75E-01,1.87E+02,7.35E+03,3.67E+03,1.66E+03,3.76E+03,1.88E+03,7.60E+02,2215
