# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted, Zr_adjusted,peak_position,peak_width,peak_intensity,V_alpha1,V_alpha2,V_beta,Co_alpha1,Co_alpha2,Co_beta,Citrine_ID
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,3.96E+06,4.92E+06,0.00E+00,0.00E+00,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,9.20E+05,8.37E+05,1.54E+05,3.02E+05,4.65E+04,5.58E+03,2.26E+04,1.32E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.11E+03,8.04E+02,1.38E+00,2.00E+00,1.52E-05,1.92E+01,4.79E+01,3.29E+01,1.91E-01,4.90E-01,3.20E-01,2.66E+00,6.08E-01,2.78E+02,4.39E+03,2.19E+03,1.01E+03,7.54E+03,3.77E+03,1.54E+03,902
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,3.96E+06,4.91E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,9.22E+05,8.39E+05,1.47E+05,3.07E+05,4.71E+04,5.73E+03,2.21E+04,1.34E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.13E+03,8.07E+02,1.40E+00,3.00E+00,1.50E-05,1.94E+01,4.59E+01,3.47E+01,1.93E-01,4.69E-01,3.37E-01,2.66E+00,6.10E-01,2.94E+02,4.21E+03,2.10E+03,9.79E+02,7.65E+03,3.83E+03,1.54E+03,903
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,3.95E+06,4.90E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,9.17E+05,8.35E+05,1.41E+05,3.06E+05,4.74E+04,5.79E+03,2.06E+04,1.29E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.13E+03,8.07E+02,1.41E+00,4.00E+00,1.49E-05,1.95E+01,4.40E+01,3.66E+01,1.95E-01,4.49E-01,3.56E-01,2.65E+00,6.05E-01,3.07E+02,4.02E+03,2.01E+03,9.12E+02,7.66E+03,3.83E+03,1.55E+03,904
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,3.95E+06,4.88E+06,0.00E+00,0.00E+00,1.10E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,9.01E+05,8.22E+05,1.32E+05,3.04E+05,4.70E+04,5.92E+03,1.99E+04,1.31E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.14E+03,8.04E+02,1.42E+00,5.00E+00,1.48E-05,1.96E+01,4.20E+01,3.85E+01,1.97E-01,4.29E-01,3.74E-01,2.64E+00,5.98E-01,3.17E+02,3.75E+03,1.88E+03,8.68E+02,7.59E+03,3.79E+03,1.53E+03,905
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,3.94E+06,4.86E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,9.04E+05,8.25E+05,1.26E+05,3.07E+05,4.73E+04,6.12E+03,1.86E+04,1.31E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.15E+03,8.05E+02,1.43E+00,6.00E+00,1.47E-05,1.96E+01,4.00E+01,4.04E+01,1.99E-01,4.09E-01,3.92E-01,2.63E+00,5.97E-01,3.34E+02,3.59E+03,1.79E+03,8.06E+02,7.66E+03,3.83E+03,1.54E+03,906
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,3.94E+06,4.88E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,8.98E+05,8.19E+05,1.21E+05,3.11E+05,4.79E+04,6.45E+03,1.80E+04,1.34E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.17E+03,8.10E+02,1.45E+00,7.00E+00,1.47E-05,1.96E+01,3.81E+01,4.23E+01,2.00E-01,3.89E-01,4.11E-01,2.62E+00,5.87E-01,3.50E+02,3.44E+03,1.72E+03,7.93E+02,7.74E+03,3.87E+03,1.56E+03,907
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,3.96E+06,4.90E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,8.96E+05,8.18E+05,1.15E+05,3.15E+05,4.86E+04,6.57E+03,1.71E+04,1.29E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,1.19E+03,8.14E+02,1.46E+00,8.00E+00,1.47E-05,1.95E+01,3.62E+01,4.43E+01,2.00E-01,3.70E-01,4.30E-01,2.61E+00,5.88E-01,3.73E+02,3.29E+03,1.64E+03,7.50E+02,7.85E+03,3.92E+03,1.58E+03,908
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,3.97E+06,4.91E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,8.95E+05,8.17E+05,1.09E+05,3.16E+05,4.90E+04,6.57E+03,1.64E+04,1.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.21E+03,8.18E+02,1.48E+00,9.00E+00,1.46E-05,1.94E+01,3.43E+01,4.63E+01,2.00E-01,3.51E-01,4.49E-01,2.61E+00,5.82E-01,3.92E+02,3.10E+03,1.55E+03,7.17E+02,7.92E+03,3.96E+03,1.59E+03,909
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,3.96E+06,4.91E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,8.87E+05,8.09E+05,1.03E+05,3.15E+05,4.90E+04,6.74E+03,1.56E+04,1.23E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,1.22E+03,8.18E+02,1.50E+00,1.00E+01,1.46E-05,1.93E+01,3.25E+01,4.82E+01,2.00E-01,3.32E-01,4.68E-01,2.60E+00,5.74E-01,4.05E+02,2.94E+03,1.47E+03,6.80E+02,7.87E+03,3.94E+03,1.59E+03,910
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,3.95E+06,4.91E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,9.44E+05,8.59E+05,1.58E+05,3.15E+05,4.78E+04,4.86E+03,2.33E+04,1.41E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,1.11E+03,8.00E+02,1.39E+00,1.10E+01,1.53E-05,2.08E+01,5.04E+01,2.88E+01,2.04E-01,5.17E-01,2.79E-01,2.69E+00,6.04E-01,2.35E+02,4.50E+03,2.25E+03,1.03E+03,7.83E+03,3.92E+03,1.58E+03,911
