# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted,Zr_adjusted,# peak_position, peak_width, peak_intensity
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,4.09E+06,4.84E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.13E+06,1.75E+06,4.88E+05,9.20E+05,1.41E+05,1.32E+04,7.25E+04,3.23E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,2.30E+03,1.17E+03,1.96E+00,2.00E+00,3.26E-06,19.24588985,47.8974289,32.85668125,19.17556641,47.6918408,33.13259279,2.73E+00,5.99E-01,1.18E+03
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,4.08E+06,4.83E+06,0.00E+00,1.40E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.11E+06,1.74E+06,4.70E+05,9.25E+05,1.43E+05,1.40E+04,6.96E+04,3.13E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,2.35E+03,1.18E+03,1.99E+00,3.00E+00,3.24E-06,19.38946901,45.92392527,34.68660573,19.33679457,45.70108424,34.96212119,2.72E+00,5.96E-01,1.24E+03
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,4.07E+06,4.82E+06,0.00E+00,1.40E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.09E+06,1.73E+06,4.51E+05,9.25E+05,1.43E+05,1.43E+04,6.71E+04,3.12E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,2.40E+03,1.18E+03,2.03E+00,4.00E+00,3.21E-06,19.4930759,43.95365797,36.55326614,19.45826674,43.71593702,36.82579624,2.71E+00,5.93E-01,1.30E+03
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,4.06E+06,4.81E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.06E+06,1.70E+06,4.30E+05,9.20E+05,1.43E+05,1.49E+04,6.38E+04,3.06E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,2.44E+03,1.18E+03,2.06E+00,5.00E+00,3.17E-06,19.55607906,41.98735344,38.4565675,19.53930761,41.7370931,38.72359929,2.71E+00,5.87E-01,1.35E+03
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,4.05E+06,4.79E+06,0.00E+00,1.39E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.04E+06,1.69E+06,4.11E+05,9.25E+05,1.44E+05,1.54E+04,6.15E+04,3.14E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,2.50E+03,1.19E+03,2.10E+00,6.00E+00,3.13E-06,19.57766781,40.03871767,40.38361453,19.57903949,39.77854881,40.6424117,2.70E+00,5.81E-01,1.42E+03
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,4.05E+06,4.78E+06,0.00E+00,1.39E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.01E+06,1.67E+06,3.93E+05,9.28E+05,1.45E+05,1.60E+04,5.84E+04,3.09E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,2.55E+03,1.19E+03,2.14E+00,7.00E+00,3.11E-06,19.55783865,38.11173463,42.33042672,19.57722053,37.84432047,42.578459,2.69E+00,5.74E-01,1.48E+03
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,4.04E+06,4.77E+06,0.00E+00,1.39E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.99E+06,1.65E+06,3.75E+05,9.27E+05,1.45E+05,1.66E+04,5.56E+04,3.10E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,2.60E+03,1.20E+03,2.17E+00,8.00E+00,3.09E-06,19.49662271,36.21018873,44.29318856,19.53400279,35.93814267,44.52785454,2.68E+00,5.67E-01,1.53E+03
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,4.07E+06,4.83E+06,0.00E+00,1.39E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.98E+06,1.65E+06,3.59E+05,9.34E+05,1.47E+05,1.72E+04,5.40E+04,3.08E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,2.69E+03,1.22E+03,2.21E+00,9.00E+00,3.06E-06,19.39481061,34.34706159,46.25812781,19.4501715,34.07281399,46.47701452,2.67E+00,5.60E-01,1.61E+03
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,4.06E+06,4.82E+06,0.00E+00,1.38E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.95E+06,1.62E+06,3.41E+05,9.31E+05,1.47E+05,1.76E+04,5.13E+04,3.11E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,2.75E+03,1.22E+03,2.25E+00,1.00E+01,3.07E-06,19.25309612,32.52219534,48.22470854,19.32632051,32.24820841,48.42547108,2.66E+00,5.51E-01,1.67E+03
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,4.06E+06,4.83E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.21E+06,1.80E+06,4.96E+05,9.64E+05,1.47E+05,1.17E+04,7.33E+04,3.13E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,2.18E+03,1.17E+03,1.87E+00,1.10E+01,3.45E-06,20.8192549,50.42350666,28.75723844,20.70175861,50.29544233,29.00279906,2.76E+00,6.06E-01,1.04E+03
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,4.05E+06,4.81E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.19E+06,1.79E+06,4.79E+05,9.71E+05,1.49E+05,1.20E+04,7.09E+04,3.23E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,2.21E+03,1.17E+03,1.89E+00,1.20E+01,3.35E-06,21.05382385,48.52500804,30.42116811,20.95544393,48.37522378,30.66933229,2.75E+00,6.08E-01,1.08E+03
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,4.03E+06,4.80E+06,0.00E+00,1.40E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.17E+06,1.78E+06,4.62E+05,9.80E+05,1.50E+05,1.27E+04,6.88E+04,3.22E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,2.25E+03,1.18E+03,1.91E+00,1.30E+01,3.34E-06,21.24883702,46.61784761,32.13331537,21.1699717,46.44814032,32.38188798,2.74E+00,6.08E-01,1.12E+03
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,4.02E+06,4.79E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.16E+06,1.77E+06,4.47E+05,9.88E+05,1.51E+05,1.35E+04,6.66E+04,3.18E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,2.31E+03,1.19E+03,1.94E+00,1.40E+01,3.28E-06,21.40262517,44.70516271,33.89221212,21.34365458,44.5173571,34.13898832,2.73E+00,6.06E-01,1.18E+03
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,4.02E+06,4.78E+06,0.00E+00,1.40E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.15E+06,1.76E+06,4.29E+05,9.90E+05,1.52E+05,1.40E+04,6.33E+04,3.28E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,2.36E+03,1.19E+03,1.98E+00,1.50E+01,3.24E-06,21.51361899,42.79938296,35.68699804,21.4745515,42.59584249,35.92960601,2.72E+00,6.02E-01,1.24E+03
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,4.03E+06,4.77E+06,0.00E+00,1.40E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,2.11E+06,1.74E+06,4.11E+05,9.91E+05,1.53E+05,1.44E+04,6.14E+04,3.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,2.41E+03,1.19E+03,2.02E+00,1.60E+01,3.21E-06,21.58089887,40.90075757,37.51834355,21.56198812,40.68381961,37.75419227,2.71E+00,5.97E-01,1.30E+03
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,4.06E+06,4.81E+06,0.00E+00,1.40E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,2.11E+06,1.73E+06,3.94E+05,9.99E+05,1.54E+05,1.50E+04,5.89E+04,3.21E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,2.48E+03,1.21E+03,2.05E+00,1.70E+01,3.15E-06,21.60363793,39.02213301,39.37422906,21.60494014,38.79420669,39.60085317,2.71E+00,5.91E-01,1.37E+03
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,4.06E+06,4.82E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.10E+06,1.73E+06,3.77E+05,1.00E+06,1.55E+05,1.54E+04,5.63E+04,3.17E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,2.53E+03,1.22E+03,2.08E+00,1.80E+01,3.13E-06,21.58202339,37.16651786,41.25145875,21.60348248,36.93016189,41.46635563,2.70E+00,5.84E-01,1.43E+03
