# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted, Zr_adjusted,peak_position,peak_width,peak_intensity,V_alpha1,V_alpha2,V_beta,Co_alpha1,Co_alpha2,Co_beta,Co_WDS,V_WDS,Zr_WDS,Citrine_ID
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,4.08E+06,4.83E+06,0.00E+00,1.08E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.03E+05,5.66E+05,1.92E+05,1.57E+05,2.93E+04,1.04E+04,2.81E+04,9.52E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.57E+03,7.41E+02,2.13E+00,1.00E+00,1.23E-05,6.65E+00,3.11E+01,6.22E+01,0.067639248,0.337995674,0.594365077,2.57E+00,4.34E-01,8.50E+02,5.49E+03,2.75E+03,1.25E+03,3.87E+03,1.93E+03,7.90E+02,6.82E+00,3.48E+01,5.83E+01,4.30E+01
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,4.11E+06,4.84E+06,0.00E+00,1.43E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.53E+05,6.12E+05,2.15E+05,1.83E+05,3.22E+04,8.97E+03,3.12E+04,1.05E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.39E+03,7.26E+02,1.92E+00,2.00E+00,1.35E-05,7.77E+00,3.92E+01,5.30E+01,0.074644332,0.421791494,0.503564174,2.61E+00,4.65E-01,6.67E+02,6.14E+03,3.07E+03,1.39E+03,4.56E+03,2.28E+03,9.16E+02,7.89E+00,4.28E+01,4.93E+01,4.40E+01
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,4.10E+06,4.85E+06,0.00E+00,1.43E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.51E+05,6.09E+05,2.12E+05,1.83E+05,3.24E+04,9.52E+03,3.05E+04,1.09E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.45E+03,7.35E+02,1.97E+00,3.00E+00,1.31E-05,7.72E+00,3.71E+01,5.52E+01,0.073099671,0.400536571,0.526363759,2.60E+00,4.58E-01,7.18E+02,6.05E+03,3.03E+03,1.36E+03,4.51E+03,2.26E+03,9.18E+02,7.60E+00,4.08E+01,5.16E+01,4.50E+01
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,4.10E+06,4.84E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,6.45E+05,6.04E+05,2.05E+05,1.80E+05,3.23E+04,9.87E+03,2.96E+04,9.79E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.49E+03,7.40E+02,2.02E+00,4.00E+00,1.29E-05,7.65E+00,3.50E+01,5.74E+01,0.071408511,0.379421885,0.549169604,2.59E+00,4.51E-01,7.65E+02,5.88E+03,2.94E+03,1.33E+03,4.48E+03,2.24E+03,9.09E+02,7.32E+00,3.88E+01,5.39E+01,4.60E+01
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,4.09E+06,4.83E+06,0.00E+00,1.38E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.28E+05,5.89E+05,1.96E+05,1.76E+05,3.19E+04,1.02E+04,2.87E+04,1.02E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.53E+03,7.41E+02,2.07E+00,5.00E+00,1.27E-05,7.56E+00,3.29E+01,5.96E+01,0.069583721,0.358543205,0.571873075,2.58E+00,4.44E-01,8.07E+02,5.59E+03,2.79E+03,1.29E+03,4.39E+03,2.20E+03,8.85E+02,7.06E+00,3.68E+01,5.62E+01,4.70E+01
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,4.10E+06,4.84E+06,0.00E+00,1.42E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,6.26E+05,5.87E+05,1.90E+05,1.76E+05,3.19E+04,1.09E+04,2.74E+04,1.04E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.60E+03,7.49E+02,2.13E+00,6.00E+00,1.23E-05,7.46E+00,3.09E+01,6.17E+01,0.067639248,0.337995674,0.594365077,2.57E+00,4.35E-01,8.66E+02,5.41E+03,2.71E+03,1.22E+03,4.33E+03,2.17E+03,8.73E+02,6.82E+00,3.48E+01,5.83E+01,4.80E+01
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,4.12E+06,4.86E+06,0.00E+00,1.37E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.20E+05,5.82E+05,1.84E+05,1.75E+05,3.26E+04,1.13E+04,2.72E+04,1.07E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.66E+03,7.59E+02,2.19E+00,7.00E+00,1.20E-05,7.34E+00,2.89E+01,6.37E+01,0.065590091,0.317870043,0.616539866,2.56E+00,4.26E-01,9.33E+02,5.25E+03,2.63E+03,1.22E+03,4.32E+03,2.16E+03,8.90E+02,6.60E+00,3.29E+01,6.05E+01,4.90E+01
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,4.12E+06,4.86E+06,0.00E+00,1.40E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.54E+01,6.07E+05,5.69E+05,1.78E+05,1.73E+05,3.21E+04,1.18E+04,2.60E+04,1.05E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,1.72E+03,7.64E+02,2.26E+00,8.00E+00,1.18E-05,7.21E+00,2.70E+01,6.58E+01,0.063452272,0.298252636,0.638295092,2.56E+00,4.17E-01,9.93E+02,5.07E+03,2.53E+03,1.17E+03,4.27E+03,2.14E+03,8.64E+02,6.39E+00,3.11E+01,6.25E+01,5.00E+01
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,4.11E+06,4.85E+06,0.00E+00,1.39E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.00E+05,5.64E+05,1.69E+05,1.69E+05,3.20E+04,1.21E+04,2.49E+04,1.01E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.78E+03,7.67E+02,2.32E+00,9.00E+00,1.15E-05,7.06E+00,2.52E+01,6.77E+01,0.061243634,0.279221312,0.659535054,2.55E+00,4.07E-01,1.05E+03,4.85E+03,2.42E+03,1.11E+03,4.17E+03,2.09E+03,8.52E+02,6.21E+00,2.92E+01,6.45E+01,5.10E+01
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,4.11E+06,4.83E+06,0.00E+00,1.41E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.88E+05,5.54E+05,1.61E+05,1.66E+05,3.22E+04,1.25E+04,2.36E+04,9.43E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,1.84E+03,7.69E+02,2.39E+00,1.00E+01,1.13E-05,6.90E+00,2.35E+01,6.96E+01,0.065908337,0.256610684,0.677480979,2.54E+00,3.96E-01,1.10E+03,4.60E+03,2.30E+03,1.05E+03,4.08E+03,2.04E+03,8.50E+02,6.05E+00,2.75E+01,6.65E+01,5.20E+01
