    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,# peak_position, peak_width, peak_intensity,Fe,Nb,Ti,Fe_adjusted,Nb_adjusted,Ti_adjusted,# Ti_alpha,Ti_beta,Fe_alpha,Fe_beta
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,5.28E+06,6.27E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.32E+05,1.89E+05,1.76E+04,4.87E+03,5.35E+02,3.23E+02,1.51E+04,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.80E+03,5.40E+02,5.19E+00,1.00E+00,8.24E-06,1.00E+00,4.00E+00,1.00E+00,2.30E-07,2.70E+00,5.28E-02,2.26E+03,0.18081526,0.108364407,0.710820333,0.05776753,0.269019655,0.673212814,1.11E+03,1.45E+02,4.90E+02,6.67E+01
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,5.27E+06,6.22E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.48E+05,1.99E+05,1.87E+04,5.04E+03,4.86E+02,2.64E+02,1.44E+04,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,2.61E+03,5.35E+02,4.88E+00,2.00E+00,5.54E-06,2.00E+00,4.00E+00,2.00E+00,-4.04E-07,2.70E+00,5.77E-02,2.07E+03,0.284499929,0.104358147,0.611141924,0.063820626,0.204020794,0.73215858,1.26E+03,1.65E+02,5.29E+02,7.20E+01
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,5.27E+06,6.20E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.45E+05,1.97E+05,1.89E+04,5.13E+03,4.85E+02,3.23E+02,1.47E+04,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,2.67E+03,5.34E+02,4.99E+00,3.00E+00,6.39E-06,3.00E+00,4.00E+00,3.00E+00,-4.33E-08,2.70E+00,5.53E-02,2.12E+03,0.257013036,0.107747891,0.635239073,0.064364134,0.218878863,0.716757003,1.20E+03,1.58E+02,5.38E+02,7.32E+01
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,5.26E+06,6.20E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.40E+05,1.94E+05,1.89E+04,5.16E+03,5.16E+02,2.75E+02,1.48E+04,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,2.66E+03,5.34E+02,4.99E+00,4.00E+00,6.23E-06,4.00E+00,4.00E+00,4.00E+00,3.77E-08,2.71E+00,5.42E-02,2.11E+03,0.231446936,0.11084171,0.657711354,0.064804262,0.234512764,0.700682974,1.15E+03,1.51E+02,5.32E+02,7.24E+01
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,5.27E+06,6.23E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.39E+05,1.93E+05,1.91E+04,5.34E+03,4.99E+02,2.84E+02,1.50E+04,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,2.66E+03,5.36E+02,4.96E+00,5.00E+00,6.05E-06,5.00E+00,4.00E+00,5.00E+00,1.27E-06,2.70E+00,5.47E-02,2.11E+03,0.20783392,0.113648571,0.67851751,0.065137474,0.250922893,0.683939633,1.11E+03,1.45E+02,5.46E+02,7.43E+01
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,5.30E+06,6.24E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.33E+05,1.89E+05,1.94E+04,5.29E+03,5.08E+02,2.87E+02,1.49E+04,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,2.66E+03,5.38E+02,4.95E+00,6.00E+00,6.03E-06,6.00E+00,4.00E+00,6.00E+00,8.12E-04,2.70E+00,5.56E-02,2.11E+03,0.186163612,0.116182267,0.697654121,0.06535924,0.268102326,0.666538434,1.05E+03,1.38E+02,5.54E+02,7.54E+01
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,5.29E+06,6.23E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.26E+05,1.84E+05,1.92E+04,5.12E+03,5.56E+02,3.09E+02,1.50E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,2.66E+03,5.37E+02,4.96E+00,7.00E+00,6.22E-06,7.00E+00,4.00E+00,7.00E+00,-2.29E-07,2.70E+00,5.63E-02,2.11E+03,0.166391832,0.118464077,0.715144091,0.065466363,0.286035687,0.648497949,1.02E+03,1.33E+02,5.34E+02,7.27E+01
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,5.29E+06,6.22E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.22E+05,1.82E+05,1.94E+04,5.41E+03,5.49E+02,3.09E+02,1.53E+04,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,2.67E+03,5.38E+02,4.96E+00,8.00E+00,6.14E-06,8.00E+00,4.00E+00,8.00E+00,-2.48E-07,2.70E+00,5.70E-02,2.11E+03,0.148445258,0.120518935,0.731035808,0.065454546,0.30469701,0.629848444,9.51E+02,1.25E+02,5.43E+02,7.38E+01
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,5.28E+06,6.21E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.55E+01,2.15E+05,1.77E+05,1.93E+04,5.33E+03,5.29E+02,3.21E+02,1.53E+04,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,2.66E+03,5.36E+02,4.95E+00,9.00E+00,6.40E-06,9.00E+00,4.00E+00,9.00E+00,2.66E-07,2.70E+00,5.73E-02,2.11E+03,0.132230376,0.122373787,0.745395837,0.065320579,0.32405106,0.610628361,9.14E+02,1.20E+02,5.43E+02,7.38E+01
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,5.27E+06,6.20E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.12E+05,1.75E+05,1.91E+04,5.33E+03,5.20E+02,3.36E+02,1.54E+04,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,2.66E+03,5.37E+02,4.95E+00,1.00E+01,6.77E-06,1.00E+01,4.00E+00,1.00E+01,-2.22E-07,2.70E+00,5.76E-02,2.12E+03,0.117640138,0.124058791,0.758301071,0.065060826,0.344055058,0.590884116,8.49E+02,1.11E+02,5.51E+02,7.49E+01
