    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,# peak_position, peak_width, peak_intensity,Fe,Nb,Ti,Fe_adjusted,Nb_adjusted,Ti_adjusted,# Ti_alpha,Ti_beta,Fe_alpha,Fe_beta
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,5.25E+06,6.23E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.33E+05,1.88E+05,3.74E+04,1.05E+04,7.29E+02,2.90E+02,1.67E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,8.36E+02,5.34E+02,1.57E+00,1.00E+00,5.56E-06,1.00E+00,3.00E+00,1.00E+00,-1.19E-07,2.72E+00,3.27E-01,2.51E+02,0.501533764,0.145507249,0.352958987,0.181986029,0.477752407,0.340261564,3.38E+02,4.43E+01,1.06E+03,1.44E+02
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,5.24E+06,6.16E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.54E+05,2.01E+05,4.21E+04,1.18E+04,6.95E+02,2.89E+02,1.63E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,8.09E+02,5.36E+02,1.51E+00,2.00E+00,5.57E-06,2.00E+00,2.00E+00,2.00E+00,-8.68E-07,2.74E+00,3.50E-01,2.18E+02,0.641393347,0.112572325,0.246034328,0.19706718,0.395256858,0.407675962,4.25E+02,5.57E+01,1.19E+03,1.62E+02
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,5.24E+06,6.14E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.54E+01,2.52E+05,2.00E+05,4.28E+04,1.22E+04,7.20E+02,3.24E+02,1.64E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,8.05E+02,5.35E+02,1.51E+00,3.00E+00,5.52E-06,3.00E+00,3.00E+00,3.00E+00,-5.89E-07,2.73E+00,3.50E-01,2.27E+02,0.608657741,0.122445311,0.268896948,0.198936662,0.41195717,0.389106168,4.09E+02,5.36E+01,1.25E+03,1.71E+02
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,5.28E+06,6.21E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.57E+05,2.03E+05,4.35E+04,1.20E+04,7.16E+02,3.00E+02,1.67E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,8.19E+02,5.42E+02,1.51E+00,4.00E+00,5.51E-06,4.00E+00,3.00E+00,4.00E+00,-3.69E-10,2.73E+00,3.50E-01,2.36E+02,0.575131386,0.132532822,0.292335793,0.200501021,0.428754053,0.370744925,3.86E+02,5.05E+01,1.24E+03,1.68E+02
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,5.27E+06,6.23E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.55E+05,2.02E+05,4.37E+04,1.23E+04,7.38E+02,3.32E+02,1.68E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,8.34E+02,5.46E+02,1.53E+00,5.00E+00,5.48E-06,5.00E+00,2.00E+00,5.00E+00,9.90E-07,2.73E+00,3.50E-01,2.47E+02,0.541126449,0.142751525,0.316122026,0.201751513,0.445599083,0.352649404,3.66E+02,4.79E+01,1.24E+03,1.69E+02
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,5.27E+06,6.21E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.55E+05,2.02E+05,4.41E+04,1.22E+04,7.92E+02,3.46E+02,1.69E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,8.43E+02,5.46E+02,1.54E+00,6.00E+00,5.44E-06,6.00E+00,3.00E+00,6.00E+00,4.86E-05,2.73E+00,3.51E-01,2.58E+02,0.506969857,0.153015572,0.340014572,0.202680834,0.462445235,0.33487393,3.50E+02,4.59E+01,1.29E+03,1.76E+02
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,5.26E+06,6.19E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.52E+05,2.00E+05,4.37E+04,1.19E+04,7.50E+02,2.87E+02,1.66E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,8.50E+02,5.45E+02,1.56E+00,7.00E+00,5.40E-06,7.00E+00,3.00E+00,7.00E+00,6.26E-07,2.73E+00,3.50E-01,2.65E+02,0.472991619,0.163244365,0.363764016,0.203284213,0.479246303,0.317469484,3.22E+02,4.22E+01,1.23E+03,1.68E+02
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,5.26E+06,6.19E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.51E+05,2.00E+05,4.42E+04,1.24E+04,7.35E+02,3.05E+02,1.69E+04,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,8.64E+02,5.46E+02,1.58E+00,8.00E+00,5.34E-06,8.00E+00,2.00E+00,8.00E+00,3.56E-08,2.73E+00,3.48E-01,2.76E+02,0.439509278,0.173364242,0.38712648,0.203559047,0.495958838,0.300482115,3.10E+02,4.06E+01,1.26E+03,1.71E+02
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,5.25E+06,6.17E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.51E+05,2.00E+05,4.38E+04,1.23E+04,7.61E+02,3.20E+02,1.73E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,8.80E+02,5.47E+02,1.61E+00,9.00E+00,5.34E-06,9.00E+00,2.00E+00,9.00E+00,9.89E-08,2.72E+00,3.44E-01,2.88E+02,0.406819141,0.183310451,0.409870408,0.203502828,0.512543632,0.28395354,2.90E+02,3.80E+01,1.27E+03,1.72E+02
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,5.25E+06,6.16E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.48E+05,1.98E+05,4.38E+04,1.21E+04,7.47E+02,3.69E+02,1.73E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,8.99E+02,5.47E+02,1.64E+00,1.00E+01,5.29E-06,1.00E+01,3.00E+00,1.00E+01,-2.10E-07,2.72E+00,3.37E-01,3.01E+02,0.37518612,0.193032406,0.431781474,0.203116038,0.528965552,0.26791841,2.74E+02,3.59E+01,1.24E+03,1.68E+02
