comp gfa{AM,AC,CR}
Ag28Cu30Fe42 AM
Ag29Cu30Fe41 AM
Ag30Cu30Fe40 AM
Ag38Cu22Fe40 AM
Ag41Cu23Fe36 AM
Ag46Cu12Fe42 AM
Ag21Cu42Fe37 AC
Ag22Cu41Fe37 AC
Ag26Cu44Fe30 AC
Ag29Cu31Fe40 AC
Ag31Cu37Fe32 AC
Ag36Cu30Fe34 AC
Ag40Cu12Fe48 AC
Ag40Cu40Fe20 AC
Ag40Cu47Fe13 AC
Ag0Cu32Fe68 CR
Ag0Cu54Fe46 CR
Ag0Cu63Fe37 CR
Ag0Cu70Fe30 CR
Ag0Cu71Fe29 CR
Ag0Cu76Fe24 CR
Ag0Cu90Fe10 CR
Ag11Cu38Fe51 CR
Ag13Cu32Fe55 CR
Ag15Cu49Fe36 CR
Ag15Cu83Fe2 CR
Ag17Cu20Fe63 CR
Ag17Cu41Fe42 CR
Ag22Cu51Fe27 CR
Ag23Cu10Fe67 CR
Ag24Cu31Fe45 CR
Ag25Cu25Fe50 CR
Ag26Cu23Fe51 CR
Ag27Cu31Fe42 CR
Ag27Cu73Fe0 CR
Ag28Cu45Fe27 CR
Ag31Cu49Fe20 CR
Ag31Cu55Fe14 CR
Ag32Cu66Fe2 CR
Ag37Cu6Fe57 CR
Ag42Cu0Fe58 CR
Ag48Cu0Fe52 CR
Ag48Cu52Fe0 CR
Ag49Cu29Fe22 CR
Ag50Cu0Fe50 CR
Ag51Cu13Fe36 CR
Ag52Cu0Fe48 CR
Ag55Cu0Fe45 CR
Ag58Cu32Fe10 CR
Ag61Cu0Fe39 CR
Ag62Cu30Fe8 CR
Ag63Cu0Fe37 CR
Ag63Cu8Fe29 CR
Ag67Cu0Fe33 CR
Ag70Cu0Fe30 CR
Ag84Cu0Fe16 CR
Ag31Cu31Fe38 AM
Al80Ce10Co10 AM
Al80Ce10Fe10 AM
Al65Cu15Fe20 AM
Al71Cu14Fe15 AM
Al90Cu5Fe5 AM
Al62Cu21Fe17 AC
Al69Cu18Fe13 AC
Al70Cu16Fe14 AC
Al73Cu14Fe13 AC
Al78Cu15Fe7 AC
Al50Cu30Fe20 CR
Al64Cu23Fe13 CR
Al62.5Cu25Fe12.5 CR
