comp gfa{AM,AC,CR}
Ag20Al25La55 AM
Ag15Al10Mg75 AM
Ag25Al10Mg65 AM
Ag25Al20Mg55 AM
Ag35Al10Mg55 AM
Ag35Al20Mg45 AM
Ag45Al20Mg35 AM
Ag10Ce6Cu84 AM
Ag10Ce10Cu80 AM
Ag15Ce6Cu79 AM
Ag20Ce6Cu74 AM
Ag20Ce10Cu70 AM
Ag25Ce6Cu69 AM
Ag30Ce6Cu64 AM
Ag30Ce10Cu60 AM
Ag35Ce4Cu61 AM
Ag35Ce5Cu60 AM
Ag35Ce6Cu59 AM
Ag40Ce3Cu57 AM
Ag40Ce4Cu56 AM
Ag40Ce5Cu55 AM
Ag40Ce8Cu52 AM
Ag40Ce10Cu50 AM
Ag45Ce3Cu52 AM
Ag45Ce4Cu51 AM
Ag45Ce5Cu50 AM
Ag50Ce3Cu47 AM
Ag50Ce4Cu46 AM
Ag50Ce5Cu45 AM
Ag50Ce10Cu40 AM
Ag55Ce5Cu40 AM
Ag55Ce6Cu39 AM
Ag55Ce8Cu37 AM
Ag6Ce8Cu86 AC
Ag20Ce5Cu75 AC
Ag30Ce5Cu65 AC
Ag35Ce3Cu62 AC
Ag45Ce2Cu53 AC
Ag50Ce2Cu48 AC
Ag60Ce5Cu35 AC
Ag60Ce10Cu30 AC
Ag5Ce5Cu90 CR
Ag5Ce6Cu89 CR
Ag5Ce8Cu87 CR
Ag10Ce3Cu87 CR
Ag10Ce5Cu85 CR
Ag10Ce6Cu84 CR
Ag15Ce4Cu81 CR
Ag20Ce3Cu77 CR
Ag20Ce4Cu76 CR
Ag30Ce3Cu67 CR
Ag40Ce1Cu59 CR
Ag40Ce2Cu58 CR
Ag60Ce3Cu37 CR
Ag70Ce5Cu25 CR
Ag70Ce10Cu20 CR
Ag37.5Cu37.5Ge25 AM
Ag38.75Cu38.75Ge22.5 AM
Ag40Cu40Ge20 AM
Ag35Cu35Mg30 AM
Ag7.1Cu85.2P7.7 AM
Ag7.5Cu85.5P7 AM
Ag8.9Cu83.5P7.6 AM
Ag9Cu82.8P8.2 AM
Ag9Cu84P7 AM
Ag10.5Cu81.5P8 AM
Ag10.5Cu81.9P7.6 AM
Ag10.5Cu82.5P7 AM
Ag12.2Cu80.3P7.5 AM
Ag12.2Cu80.8P7 AM
Ag7Cu84.5P8.5 AC
Ag7.5Cu86P6.5 AC
Ag9Cu84.5P6.5 AC
Ag10.5Cu80.5P9 AC
Ag12.2Cu81.5P6.3 AC
Ag14Cu78.5P7.5 AC
