Co, Fe, Zr, is_glass
8.040,16.187,75.773,0.500
7.831,14.814,77.355,0.500
7.613,13.548,78.839,0.500
7.387,12.380,80.233,0.500
7.157,11.308,81.535,0.500
6.923,10.325,82.752,0.500
6.688,9.423,83.890,0.000
6.452,8.600,84.948,0.000
6.218,7.847,85.935,0.000
9.220,20.333,70.447,0.500
9.039,18.686,72.275,0.500
8.841,17.151,74.008,0.500
8.628,15.722,75.650,0.500
8.404,14.400,77.196,0.500
8.169,13.177,78.654,0.500
7.928,12.052,80.020,0.500
7.681,11.017,81.301,0.500
7.431,10.066,82.503,0.500
7.179,9.197,83.624,0.000
6.927,8.400,84.673,0.000
6.676,7.673,85.651,0.000
6.427,7.010,86.563,0.000
10.242,23.229,66.529,0.500
10.087,21.417,68.496,0.500
9.910,19.718,70.372,0.500
9.713,18.130,72.157,0.500
9.498,16.647,73.855,0.500
9.269,15.271,75.460,0.500
9.027,13.995,76.978,0.500
8.775,12.818,78.406,0.500
8.516,11.733,79.750,0.500
8.252,10.734,81.015,0.500
7.984,9.818,82.199,0.500
7.714,8.976,83.310,0.000
7.444,8.208,84.349,0.000
7.175,7.505,85.320,0.000
6.908,6.862,86.231,0.000
11.282,26.321,62.396,0.500
11.167,24.360,64.473,0.500
11.023,22.502,66.474,0.500
10.853,20.756,68.390,0.500
10.660,19.118,70.222,0.500
10.445,17.584,71.971,0.500
10.213,16.158,73.629,0.500
9.965,14.831,75.205,0.500
9.705,13.603,76.692,0.500
9.434,12.469,78.097,0.500
9.156,11.422,79.422,0.500
8.872,10.459,80.668,0.500
8.585,9.574,81.841,0.500
8.295,8.763,82.941,0.000
8.006,8.021,83.973,0.000
7.717,7.340,84.943,0.000
7.430,6.719,85.851,0.000
12.323,29.576,58.101,1.000
12.260,27.476,60.264,1.000
12.162,25.479,62.359,0.500
12.032,23.581,64.386,0.500
11.872,21.792,66.336,0.500
11.685,20.109,68.206,0.500
11.473,18.528,69.999,0.500
11.240,17.053,71.706,0.500
10.988,15.678,73.334,0.500
10.721,14.402,74.877,0.500
10.441,13.220,76.338,0.500
10.150,12.126,77.723,0.500
9.851,11.119,79.029,0.500
9.546,10.191,80.263,0.500
9.238,9.338,81.424,0.500
8.928,8.556,82.516,0.000
8.616,7.838,83.546,0.000
8.306,7.181,84.512,0.000
7.998,6.579,85.423,0.000
13.343,32.937,53.720,1.000
13.344,30.728,55.928,1.000
13.306,28.604,58.090,1.000
13.229,26.578,60.194,1.000
13.116,24.646,62.238,0.500
12.969,22.819,64.211,0.500
12.792,21.095,66.113,0.500
12.586,19.471,67.943,0.500
12.355,17.952,69.692,0.500
12.102,16.531,71.367,0.500
11.830,15.210,72.960,0.500
11.542,13.983,74.475,0.500
11.240,12.844,75.916,0.500
10.927,11.793,77.279,0.500
10.606,10.822,78.572,0.500
10.279,9.930,79.792,0.500
9.948,9.108,80.944,0.500
9.614,8.353,82.033,0.000
9.280,7.661,83.059,0.000
8.947,7.026,84.028,0.000
8.616,6.445,84.940,0.000
14.400,34.060,51.540,1.000
14.432,31.840,53.728,1.000
14.422,29.698,55.881,1.000
14.370,27.648,57.983,1.000
14.278,25.688,60.034,0.500
14.149,23.829,62.023,0.500
13.984,22.069,63.947,0.500
13.788,20.406,65.806,0.500
13.563,18.847,67.590,0.500
13.311,17.384,69.305,0.500
13.037,16.021,70.942,0.500
12.743,14.751,72.506,0.500
12.431,13.570,73.998,0.500
12.106,12.478,75.416,0.500
11.770,11.466,76.764,0.500
11.425,10.534,78.042,0.500
11.073,9.675,79.252,0.500
10.717,8.883,80.400,0.500
10.359,8.156,81.485,0.000
10.000,7.488,82.512,0.000
9.643,6.875,83.482,0.000
15.408,37.419,47.172,1.000
15.521,35.127,49.352,1.000
15.588,32.901,51.511,1.000
15.610,30.748,53.643,1.000
15.586,28.680,55.733,1.000
15.520,26.698,57.782,1.000
15.412,24.812,59.776,0.500
15.265,23.022,61.713,0.500
15.082,21.326,63.592,0.500
14.865,19.731,65.404,0.500
14.619,18.230,67.151,0.500
14.345,16.828,68.827,0.500
14.048,15.519,70.433,0.500
13.730,14.299,71.971,0.500
13.394,13.167,73.438,0.500
13.044,12.117,74.839,0.500
12.683,11.147,76.171,0.500
12.312,10.251,77.437,0.500
11.934,9.424,78.642,0.500
11.552,8.663,79.784,0.500
11.167,7.963,80.870,0.000
10.783,7.320,81.898,0.000
10.399,6.729,82.872,0.000
16.554,38.414,45.032,1.000
16.708,36.129,47.163,1.000
16.814,33.904,49.283,1.000
16.871,31.745,51.384,1.000
16.881,29.666,53.453,1.000
16.843,27.667,55.489,1.000
16.761,25.760,57.479,1.000
16.636,23.945,59.419,0.500
16.470,22.221,61.310,0.500
16.266,20.595,63.139,0.500
16.028,19.061,64.911,0.500
15.759,17.624,66.616,0.500
15.462,16.280,68.258,0.500
15.140,15.023,69.837,0.500
14.797,13.856,71.348,0.500
14.435,12.769,72.796,0.500
14.059,11.764,74.178,0.500
13.670,10.833,75.496,0.500
13.272,9.972,76.756,0.500
12.867,9.179,77.954,0.500
12.456,8.448,79.096,0.500
12.044,7.775,80.181,0.500
17.762,39.332,42.906,1.000
17.961,37.058,44.981,1.000
18.109,34.839,47.052,1.000
18.206,32.680,49.114,1.000
18.253,30.596,51.151,1.000
18.249,28.586,53.164,1.000
18.197,26.664,55.139,1.000
18.098,24.829,57.073,1.000
17.953,23.082,58.965,0.500
17.767,21.430,60.803,0.500
17.542,19.868,62.590,0.500
17.281,18.401,64.317,0.500
16.988,17.026,65.986,0.500
16.665,15.737,67.598,0.500
16.318,14.536,69.146,0.500
15.947,13.417,70.636,0.500
15.558,12.378,72.063,0.500
15.154,11.416,73.430,0.500
14.736,10.523,74.741,0.500
14.309,9.700,75.991,0.500
13.874,8.938,77.188,0.500
13.435,8.237,78.328,0.500
19.034,40.165,40.801,1.000
19.280,37.908,42.812,1.000
19.475,35.699,44.826,1.000
19.616,33.545,46.838,1.000
19.704,31.461,48.835,1.000
19.739,29.446,50.815,1.000
19.721,27.514,52.765,1.000
19.652,25.665,54.683,1.000
19.534,23.901,56.565,0.500
19.370,22.228,58.402,0.500
19.162,20.643,60.195,0.500
18.914,19.151,61.935,0.500
18.629,17.749,63.623,0.500
18.309,16.431,65.259,0.500
17.961,15.202,66.838,0.500
17.585,14.053,68.363,0.500
17.187,12.985,69.828,0.500
16.769,11.993,71.238,0.500
16.334,11.071,72.595,0.500
