Co, Ti, Zr, is_glass
20.813,41.379,37.808,0.500
23.310,44.434,32.256,0.500
23.223,43.254,33.523,0.500
23.125,42.097,34.778,0.500
23.018,40.967,36.015,0.500
22.906,39.865,37.229,0.500
22.792,38.796,38.412,0.500
22.681,37.763,39.556,0.500
22.577,36.770,40.653,0.500
22.484,35.821,41.695,0.500
25.764,45.199,29.037,0.500
25.706,43.995,30.299,0.500
25.626,42.811,31.564,0.500
25.526,41.646,32.828,0.500
25.411,40.504,34.086,0.500
25.283,39.385,35.332,0.500
25.146,38.291,36.563,0.500
25.003,37.226,37.770,0.500
24.859,36.193,38.948,0.500
24.716,35.194,40.091,0.500
24.578,34.232,41.190,0.500
24.450,33.311,42.239,0.500
24.336,32.433,43.231,0.500
28.299,44.628,27.074,0.500
28.260,43.433,28.307,0.500
28.193,42.256,29.552,0.500
28.100,41.096,30.803,0.500
27.985,39.956,32.059,0.500
27.850,38.836,33.314,0.500
27.699,37.738,34.564,0.500
27.534,36.662,35.804,0.500
27.360,35.612,37.028,0.500
27.178,34.589,38.233,0.500
26.994,33.595,39.411,0.500
26.809,32.633,40.558,0.500
26.627,31.705,41.668,0.500
26.452,30.812,42.735,0.500
26.287,29.958,43.755,0.500
30.976,43.906,25.118,0.500
30.962,42.729,26.309,0.500
30.915,41.569,27.516,0.500
30.836,40.426,28.738,0.500
30.729,39.300,29.971,0.500
30.595,38.192,31.212,0.500
30.439,37.103,32.458,0.500
30.262,36.034,33.705,0.500
30.068,34.985,34.947,0.500
29.859,33.959,36.183,0.500
29.639,32.956,37.406,0.500
29.410,31.978,38.612,0.500
29.175,31.028,39.797,0.500
28.938,30.106,40.956,0.500
28.700,29.213,42.086,0.500
28.465,28.352,43.183,0.500
28.234,27.522,44.244,0.500
33.786,43.024,23.191,1.000
33.802,41.872,24.327,1.000
33.779,40.737,25.484,1.000
33.720,39.618,26.661,1.000
33.628,38.517,27.855,1.000
33.504,37.432,29.065,0.500
33.350,36.364,30.286,0.500
33.170,35.313,31.517,0.500
32.966,34.281,32.753,0.500
32.740,33.267,33.993,0.500
32.496,32.273,35.231,0.500
32.235,31.300,36.465,0.500
31.961,30.349,37.690,0.500
31.675,29.421,38.904,0.500
31.381,28.517,40.103,0.500
31.080,27.637,41.283,0.500
30.775,26.783,42.443,0.500
30.466,25.954,43.580,0.500
30.155,25.151,44.694,0.500
36.715,41.974,21.311,1.000
36.763,40.854,22.383,1.000
36.770,39.751,23.479,1.000
36.737,38.664,24.599,1.000
36.665,37.594,25.741,1.000
36.557,36.540,26.903,1.000
36.414,35.503,28.083,1.000
36.239,34.481,29.280,1.000
36.034,33.476,30.490,1.000
35.801,32.488,31.711,1.000
35.544,31.516,32.940,1.000
35.262,30.563,34.175,1.000
34.960,29.628,35.412,0.500
34.640,28.712,36.648,0.500
34.303,27.816,37.881,0.500
33.952,26.939,39.109,0.500
33.588,26.084,40.328,0.500
33.213,25.249,41.538,0.500
32.828,24.435,42.737,0.500
32.433,23.642,43.925,0.500
32.028,22.868,45.103,0.500
39.831,39.675,20.494,1.000
39.870,38.609,21.521,1.000
39.866,37.559,22.575,1.000
39.819,36.527,23.654,1.000
39.732,35.511,24.757,1.000
39.607,34.511,25.882,1.000
39.445,33.526,27.029,1.000
39.247,32.557,28.195,1.000
39.017,31.604,29.379,1.000
38.756,30.666,30.579,1.000
38.465,29.743,31.792,1.000
38.147,28.837,33.016,1.000
37.804,27.947,34.249,1.000
37.438,27.073,35.488,1.000
37.051,26.217,36.732,1.000
36.644,25.377,37.979,1.000
36.218,24.555,39.226,1.000
35.776,23.750,40.474,1.000
35.317,22.963,41.721,0.500
34.841,22.192,42.967,0.500
34.349,21.437,44.214,0.500
42.987,38.339,18.674,1.000
43.058,37.314,19.628,1.000
43.085,36.307,20.609,1.000
43.067,35.317,21.616,1.000
43.006,34.343,22.651,1.000
42.903,33.386,23.711,1.000
42.759,32.444,24.797,1.000
42.577,31.517,25.906,1.000
42.357,30.605,27.037,1.000
42.101,29.708,28.191,1.000
41.811,28.825,29.363,1.000
41.489,27.957,30.554,1.000
41.136,27.103,31.761,1.000
40.754,26.264,32.983,1.000
40.344,25.439,34.218,1.000
39.908,24.629,35.464,1.000
39.447,23.833,36.720,1.000
38.963,23.052,37.985,1.000
38.456,22.286,39.258,1.000
37.926,21.534,40.540,1.000
37.374,20.795,41.831,1.000
36.800,20.069,43.131,1.000
36.202,19.355,44.444,1.000
46.312,35.876,17.812,1.000
46.370,34.914,18.716,1.000
46.382,33.969,19.648,1.000
46.349,33.042,20.608,1.000
46.273,32.131,21.596,1.000
46.153,31.236,22.611,1.000
45.991,30.357,23.652,1.000
45.789,29.491,24.720,1.000
45.547,28.640,25.813,1.000
45.266,27.803,26.931,1.000
44.949,26.979,28.071,1.000
44.597,26.169,29.234,1.000
44.210,25.372,30.418,1.000
43.791,24.587,31.622,1.000
43.340,23.816,32.844,1.000
42.859,23.057,34.084,1.000
42.348,22.311,35.341,1.000
41.809,21.577,36.614,1.000
41.242,20.856,37.902,1.000
40.648,20.146,39.207,1.000
40.025,19.447,40.528,1.000
39.375,18.758,41.867,1.000
38.695,18.079,43.226,1.000
49.695,33.394,16.911,1.000
49.738,32.497,17.765,1.000
49.734,31.619,18.647,1.000
49.686,30.757,19.557,1.000
49.593,29.912,20.496,1.000
49.456,29.082,21.463,1.000
49.276,28.266,22.458,1.000
49.054,27.465,23.481,1.000
48.791,26.677,24.531,1.000
48.488,25.903,25.609,1.000
48.146,25.141,26.713,1.000
47.766,24.391,27.843,1.000
47.349,23.653,28.997,1.000
46.896,22.927,30.177,1.000
46.408,22.212,31.379,1.000
45.886,21.508,32.605,1.000
45.331,20.815,33.854,1.000
44.742,20.133,35.125,1.000
44.121,19.461,36.418,1.000
43.468,18.798,37.734,1.000
42.782,18.144,39.074,1.000
42.063,17.499,40.438,1.000
41.309,16.862,41.829,1.000
53.105,30.916,15.979,1.000
53.130,30.088,16.782,1.000
53.110,29.277,17.612,1.000
53.046,28.483,18.472,1.000
52.936,27.704,19.359,1.000
52.783,26.940,20.276,1.000
52.586,26.191,21.223,1.000
52.347,25.455,22.198,1.000
52.065,24.732,23.203,1.000
51.742,24.021,24.237,1.000
51.378,23.322,25.300,1.000
50.974,22.635,26.392,1.000
50.530,21.958,27.512,1.000
50.048,21.291,28.660,1.000
49.528,20.635,29.837,1.000
48.971,19.988,31.041,1.000
48.376,19.351,32.273,1.000
47.745,18.723,33.533,1.000
47.077,18.103,34.821,1.000
46.372,17.491,36.137,1.000
45.630,16.886,37.484,1.000
44.851,16.288,38.861,1.000
44.033,15.696,40.271,1.000
56.507,28.469,15.023,1.000
56.515,27.710,15.775,1.000
56.479,26.967,16.554,1.000
56.398,26.241,17.361,1.000
56.274,25.529,18.197,1.000
56.105,24.832,19.063,1.000
55.893,24.149,19.958,1.000
55.638,23.478,20.884,1.000
55.340,22.820,21.840,1.000
55.000,22.173,22.827,1.000
54.617,21.537,23.846,1.000
54.193,20.912,24.895,1.000
53.728,20.296,25.976,1.000
53.222,19.690,27.088,1.000
52.676,19.093,28.231,1.000
52.089,18.504,29.407,1.000
51.462,17.923,30.615,1.000
50.795,17.350,31.855,1.000
50.088,16.784,33.128,1.000
49.341,16.224,34.435,1.000
48.553,15.670,35.777,1.000
47.723,15.122,37.155,1.000
46.850,14.578,38.571,1.000
