Co, V, Zr, is_glass
22.400,46.900,30.600,0.500
22.300,45.500,32.200,1.000
22.100,44.100,33.800,1.000
21.900,42.700,35.500,1.000
21.600,41.200,37.200,1.000
21.400,39.800,38.900,1.000
21.100,38.300,40.600,0.500
20.700,36.900,42.400,0.500
20.400,35.400,44.200,0.500
24.700,48.200,27.100,0.500
24.700,46.800,28.500,1.000
24.500,45.500,30.000,1.000
24.400,44.100,31.500,1.000
24.100,42.700,33.100,1.000
23.900,41.300,34.700,1.000
23.600,40.000,36.400,1.000
23.300,38.600,38.100,1.000
23.000,37.200,39.800,1.000
22.700,35.800,41.600,0.500
22.300,34.400,43.300,0.500
21.900,33.000,45.100,0.500
21.400,31.600,46.900,0.500
27.000,47.800,25.100,0.500
27.000,46.500,26.500,0.500
26.900,45.200,27.900,1.000
26.700,43.900,29.300,1.000
26.600,42.600,30.800,1.000
26.300,41.300,32.400,1.000
26.100,40.000,34.000,1.000
25.800,38.600,35.600,1.000
25.500,37.300,37.200,1.000
25.100,36.000,38.900,1.000
24.700,34.600,40.600,1.000
24.300,33.300,42.400,0.500
23.900,32.000,44.100,0.500
23.400,30.700,45.900,0.500
22.900,29.400,47.700,0.500
29.500,47.300,23.200,0.500
29.400,46.100,24.500,0.500
29.400,44.800,25.800,1.000
29.300,43.600,27.200,1.000
29.100,42.300,28.600,1.000
28.900,41.100,30.000,1.000
28.700,39.800,31.500,1.000
28.400,38.500,33.100,1.000
28.100,37.200,34.700,1.000
27.800,36.000,36.300,1.000
27.400,34.700,37.900,1.000
27.000,33.400,39.600,1.000
26.500,32.200,41.300,1.000
26.000,30.900,43.100,1.000
25.500,29.700,44.800,0.500
25.000,28.400,46.600,0.500
24.400,27.200,48.400,0.500
32.000,46.600,21.400,0.500
32.000,45.400,22.600,0.500
32.000,44.200,23.800,1.000
31.900,43.000,25.100,1.000
31.800,41.800,26.400,1.000
31.600,40.600,27.800,1.000
31.400,39.400,29.200,1.000
31.200,38.200,30.600,1.000
30.900,37.000,32.100,1.000
30.500,35.800,33.700,1.000
30.200,34.600,35.200,1.000
29.800,33.400,36.900,1.000
29.300,32.200,38.500,1.000
28.800,31.000,40.200,1.000
28.300,29.800,41.900,1.000
27.800,28.600,43.600,1.000
27.200,27.400,45.400,0.500
26.600,26.300,47.100,0.500
26.000,25.100,48.900,0.500
34.600,45.600,19.700,0.500
34.700,44.500,20.800,0.500
34.700,43.400,21.900,1.000
34.600,42.200,23.100,1.000
34.600,41.100,24.300,1.000
34.400,40.000,25.600,1.000
34.300,38.800,26.900,1.000
34.000,37.700,28.300,1.000
33.800,36.600,29.700,1.000
33.500,35.400,31.100,1.000
33.100,34.300,32.600,1.000
32.700,33.200,34.100,1.000
32.300,32.000,35.700,1.000
31.800,30.900,37.300,1.000
31.300,29.800,38.900,1.000
30.800,28.600,40.600,1.000
30.200,27.500,42.300,1.000
29.600,26.400,44.000,1.000
28.900,25.300,45.700,1.000
28.200,24.300,47.500,0.500
27.500,23.200,49.300,0.500
37.400,43.400,19.100,0.500
37.500,42.400,20.100,0.500
37.500,41.300,21.200,1.000
37.400,40.200,22.300,1.000
37.300,39.200,23.500,1.000
37.200,38.100,24.700,1.000
37.000,37.000,26.000,1.000
36.800,35.900,27.300,1.000
36.500,34.900,28.600,1.000
36.200,33.800,30.000,1.000
35.800,32.700,31.500,1.000
35.400,31.700,32.900,1.000
34.900,30.600,34.500,1.000
34.400,29.600,36.000,1.000
33.900,28.500,37.600,1.000
33.300,27.500,39.200,1.000
32.700,26.400,40.900,1.000
32.000,25.400,42.600,1.000
31.400,24.400,44.300,1.000
30.600,23.400,46.000,1.000
29.900,22.400,47.700,1.000
40.400,41.200,18.400,0.500
40.400,40.200,19.400,0.500
40.400,39.200,20.400,0.500
40.400,38.100,21.500,1.000
40.200,37.100,22.600,1.000
40.100,36.100,23.800,1.000
39.900,35.100,25.000,1.000
39.600,34.100,26.200,1.000
39.400,33.100,27.500,1.000
39.000,32.100,28.900,1.000
38.600,31.100,30.200,1.000
38.200,30.200,31.700,1.000
37.700,29.200,33.100,1.000
37.200,28.200,34.600,1.000
36.600,27.200,36.200,1.000
36.000,26.200,37.800,1.000
35.400,25.300,39.400,1.000
34.700,24.300,41.000,1.000
33.900,23.400,42.700,1.000
33.200,22.400,44.400,1.000
32.400,21.500,46.100,1.000
31.600,20.600,47.900,1.000
43.400,38.900,17.700,0.500
43.400,37.900,18.600,0.500
43.400,37.000,19.600,0.500
43.400,36.000,20.600,0.500
43.200,35.100,21.700,1.000
43.100,34.100,22.800,1.000
42.900,33.200,23.900,1.000
42.600,32.300,25.100,1.000
42.300,31.400,26.300,1.000
41.900,30.400,27.600,1.000
41.500,29.500,29.000,1.000
41.100,28.600,30.300,1.000
40.600,27.700,31.700,1.000
40.000,26.800,33.200,1.000
39.400,25.900,34.700,1.000
38.800,25.000,36.200,1.000
38.100,24.100,37.800,1.000
37.400,23.200,39.400,1.000
36.600,22.300,41.000,1.000
35.800,21.500,42.700,1.000
35.000,20.600,44.400,1.000
34.100,19.800,46.100,1.000
46.500,36.500,17.000,0.500
46.500,35.600,17.800,0.500
46.500,34.800,18.700,0.500
46.400,33.900,19.700,0.500
46.300,33.000,20.700,0.500
46.100,32.100,21.700,1.000
45.900,31.300,22.800,1.000
45.600,30.400,24.000,1.000
