Fe, Ti, Nb, is_glass
    18.199,    34.026,    47.775,     0.500
    19.707,    40.768,    39.526,     0.500
    19.894,    38.911,    41.196,     0.500
    20.050,    37.074,    42.875,     0.500
    20.175,    35.265,    44.560,     0.500
    20.268,    33.487,    46.245,     0.500
    20.328,    31.747,    47.925,     0.500
    20.356,    30.048,    49.596,     0.500
    20.350,    28.395,    51.254,     0.500
    20.312,    26.792,    52.897,     0.500
    21.325,    43.709,    34.966,     0.500
    21.606,    41.849,    36.546,     0.500
    21.854,    40.003,    38.143,     0.500
    22.070,    38.176,    39.755,     0.500
    22.251,    36.373,    41.376,     0.500
    22.398,    34.599,    43.003,     0.500
    22.510,    32.860,    44.631,     0.500
    22.585,    31.159,    46.256,     0.500
    22.625,    29.500,    47.875,     0.500
    22.628,    27.888,    49.484,     0.500
    22.594,    26.325,    51.080,     0.500
    22.525,    24.814,    52.661,     0.500
    22.420,    23.357,    54.222,     0.500
    23.217,    44.624,    32.159,     0.500
    23.568,    42.776,    33.656,     0.500
    23.886,    40.942,    35.172,     0.500
    24.168,    39.127,    36.705,     0.500
    24.414,    37.335,    38.252,     0.500
    24.622,    35.570,    39.808,     0.500
    24.793,    33.836,    41.371,     0.500
    24.925,    32.139,    42.936,     0.500
    25.017,    30.482,    44.501,     0.500
    25.070,    28.869,    46.061,     0.500
    25.084,    27.302,    47.615,     0.500
    25.058,    25.784,    49.158,     0.500
    24.993,    24.318,    50.689,     0.500
    24.890,    22.904,    52.206,     0.500
    24.748,    21.545,    53.706,     0.500
    25.153,    45.379,    29.469,     0.500
    25.582,    43.542,    30.876,     0.500
    25.976,    41.721,    32.303,     0.500
    26.331,    39.918,    33.750,     0.500
    26.649,    38.138,    35.213,     0.500
    26.926,    36.385,    36.689,     0.500
    27.163,    34.663,    38.175,     0.500
    27.358,    32.974,    39.668,     0.500
    27.511,    31.324,    41.165,     0.500
    27.622,    29.715,    42.662,     0.500
    27.691,    28.151,    44.158,     0.500
