composition gfa{AM,CR} processing{meltspin,sputtering}
Co22.400000V46.900000Zr30.600000 CR sputtering
Co22.300000V45.500000Zr32.200000 AM sputtering
Co22.100000V44.100000Zr33.800000 AM sputtering
Co21.900000V42.700000Zr35.500000 AM sputtering
Co21.600000V41.200000Zr37.200000 AM sputtering
Co21.400000V39.800000Zr38.900000 AM sputtering
Co21.100000V38.300000Zr40.600000 CR sputtering
Co20.700000V36.900000Zr42.400000 CR sputtering
Co20.400000V35.400000Zr44.200000 CR sputtering
Co24.700000V48.200000Zr27.100000 CR sputtering
Co24.700000V46.800000Zr28.500000 AM sputtering
Co24.500000V45.500000Zr30.000000 AM sputtering
Co24.400000V44.100000Zr31.500000 AM sputtering
Co24.100000V42.700000Zr33.100000 AM sputtering
Co23.900000V41.300000Zr34.700000 AM sputtering
Co23.600000V40.000000Zr36.400000 AM sputtering
Co23.300000V38.600000Zr38.100000 AM sputtering
Co23.000000V37.200000Zr39.800000 AM sputtering
Co22.700000V35.800000Zr41.600000 CR sputtering
Co22.300000V34.400000Zr43.300000 CR sputtering
Co21.900000V33.000000Zr45.100000 CR sputtering
Co21.400000V31.600000Zr46.900000 CR sputtering
Co27.000000V47.800000Zr25.100000 CR sputtering
Co27.000000V46.500000Zr26.500000 CR sputtering
Co26.900000V45.200000Zr27.900000 AM sputtering
Co26.700000V43.900000Zr29.300000 AM sputtering
Co26.600000V42.600000Zr30.800000 AM sputtering
Co26.300000V41.300000Zr32.400000 AM sputtering
Co26.100000V40.000000Zr34.000000 AM sputtering
Co25.800000V38.600000Zr35.600000 AM sputtering
Co25.500000V37.300000Zr37.200000 AM sputtering
Co25.100000V36.000000Zr38.900000 AM sputtering
Co24.700000V34.600000Zr40.600000 AM sputtering
Co24.300000V33.300000Zr42.400000 CR sputtering
Co23.900000V32.000000Zr44.100000 CR sputtering
Co23.400000V30.700000Zr45.900000 CR sputtering
Co22.900000V29.400000Zr47.700000 CR sputtering
Co29.500000V47.300000Zr23.200000 CR sputtering
Co29.400000V46.100000Zr24.500000 CR sputtering
Co29.400000V44.800000Zr25.800000 AM sputtering
Co29.300000V43.600000Zr27.200000 AM sputtering
Co29.100000V42.300000Zr28.600000 AM sputtering
Co28.900000V41.100000Zr30.000000 AM sputtering
Co28.700000V39.800000Zr31.500000 AM sputtering
Co28.400000V38.500000Zr33.100000 AM sputtering
Co28.100000V37.200000Zr34.700000 AM sputtering
Co27.800000V36.000000Zr36.300000 AM sputtering
Co27.400000V34.700000Zr37.900000 AM sputtering
Co27.000000V33.400000Zr39.600000 AM sputtering
Co26.500000V32.200000Zr41.300000 AM sputtering
Co26.000000V30.900000Zr43.100000 AM sputtering
Co25.500000V29.700000Zr44.800000 CR sputtering
Co25.000000V28.400000Zr46.600000 CR sputtering
Co24.400000V27.200000Zr48.400000 CR sputtering
Co32.000000V46.600000Zr21.400000 CR sputtering
Co32.000000V45.400000Zr22.600000 CR sputtering
Co32.000000V44.200000Zr23.800000 AM sputtering
Co31.900000V43.000000Zr25.100000 AM sputtering
Co31.800000V41.800000Zr26.400000 AM sputtering
Co31.600000V40.600000Zr27.800000 AM sputtering
Co31.400000V39.400000Zr29.200000 AM sputtering
Co31.200000V38.200000Zr30.600000 AM sputtering
Co30.900000V37.000000Zr32.100000 AM sputtering
Co30.500000V35.800000Zr33.700000 AM sputtering
Co30.200000V34.600000Zr35.200000 AM sputtering
Co29.800000V33.400000Zr36.900000 AM sputtering
Co29.300000V32.200000Zr38.500000 AM sputtering
Co28.800000V31.000000Zr40.200000 AM sputtering
Co28.300000V29.800000Zr41.900000 AM sputtering
Co27.800000V28.600000Zr43.600000 AM sputtering
Co27.200000V27.400000Zr45.400000 CR sputtering
Co26.600000V26.300000Zr47.100000 CR sputtering
Co26.000000V25.100000Zr48.900000 CR sputtering
Co34.600000V45.600000Zr19.700000 CR sputtering
Co34.700000V44.500000Zr20.800000 CR sputtering
Co34.700000V43.400000Zr21.900000 AM sputtering
Co34.600000V42.200000Zr23.100000 AM sputtering
Co34.600000V41.100000Zr24.300000 AM sputtering
Co34.400000V40.000000Zr25.600000 AM sputtering
Co34.300000V38.800000Zr26.900000 AM sputtering
Co34.000000V37.700000Zr28.300000 AM sputtering
Co33.800000V36.600000Zr29.700000 AM sputtering
Co33.500000V35.400000Zr31.100000 AM sputtering
Co33.100000V34.300000Zr32.600000 AM sputtering
Co32.700000V33.200000Zr34.100000 AM sputtering
Co32.300000V32.000000Zr35.700000 AM sputtering
Co31.800000V30.900000Zr37.300000 AM sputtering
Co31.300000V29.800000Zr38.900000 AM sputtering
Co30.800000V28.600000Zr40.600000 AM sputtering
Co30.200000V27.500000Zr42.300000 AM sputtering
Co29.600000V26.400000Zr44.000000 AM sputtering
Co28.900000V25.300000Zr45.700000 AM sputtering
Co28.200000V24.300000Zr47.500000 CR sputtering
Co27.500000V23.200000Zr49.300000 CR sputtering
Co37.400000V43.400000Zr19.100000 CR sputtering
Co37.500000V42.400000Zr20.100000 CR sputtering
Co37.500000V41.300000Zr21.200000 AM sputtering
